Sharky Jr,235500,16
Sharky Jr,185300,15
Sharky Jr,148900,0
SharkyJr,145000,0
Sharky Jr,121288,12
Hady,99999,0
Sharky,48300,0
Sharky Jr,48172,8
SharkyJr,41199,7
Sharkawy,33349,6
